"SM3DATA","IDNR","001","C",12,0,"ID nommer","","","ID nommer","ID number","","","ID number","@!",1000,1000,""
"SM3DATA","REKNR","002","C",10,0,"Registrasienommer","","Registrasie","nommer","Registration number","","Registration","number","@!",1013,1013,""
"SM3DATA","KALFBNR","003","C",10,0,"Kalfboeknommer","Kalf","boek","nommer","Calf book number","Calf","book","number","@!",1014,1014,""
"SM3DATA","IDNAAM","004","C",35,0,"Naam van dier","","","Naam van dier","Name of animal","","","Name of animal","@S30@!",1016,1016,""
"SM3DATA","IDVAAR","005","C",12,0,"Vaar ID nommer","","Vaar","id nommer","Sire id number","","Sire","id number","@!",1020,1020,""
"SM3DATA","IDMOER","006","C",12,0,"Moer ID nommer","","Moer","id nommer","Dam id number","","Dam","id number","@!",1025,1025,""
"SM3DATA","BLOEDLYN","007","C",2,0,"Bloedlyn","","Bl","ln","Family code","","Fa","co","@!",1030,1030,""
"SM3DATA","GESLAG","008","C",1,0,"Geslag","G","e","s","Sex","S","e","x","!",1035,1035,""
"SM3DATA","GENERASIE","009","C",2,0,"Generasie","G","e","n","Generation","G","e","n","@!",1040,1040,""
"SM3DATA","GEBDATUM","010","D",8,0,"Geboortedatum","","Geboorte","datum","Date of birth","","Date of","birth","99/99/99",1045,1045,""
"SM3DATA","GEBMASSA","011","N",2,0,"Geboortemassa","","","Gm","Birth mass","","","Bm","99",1050,1050,""
"SM3DATA","IDATUM","012","D",8,0,"Dek/KI datum","","Dek/KI","datum","Mating/AI date","","Mating/","AI date","99/99/99",1055,1055,""
"SM3DATA","MOUDERDOM","013","N",3,0,"Maandouderdom","","Mnd","oud","Month age","","Mon","age","999",1058,1058,""
"SM3DATA","VAARKODE","014","C",1,0,"Verwek deur","V","e","r","Service code","S","e","r","!",2000,2000,""
"SM3DATA","GEBSTAT","015","C",1,0,"Geboortestatus","S","t","a","Birth status","S","t","a","!",2005,2005,""
"SM3DATA","TWEELING","016","C",1,0,"Tweeling met","T","w","e","Twin with","T","w","i","!",2010,2010,""
"SM3DATA","BLOEDNR","017","C",10,0,"Bloedtipering nr","Bloed","tipering","nommer","Bloodtyping number","Blood","typing","number","@!",2015,2015,""
"SM3DATA","KALFSTAT","018","C",2,0,"Kalfstatus","","Ka","St","Calving status","","Ca","St","!!",2020,2020,""
"SM3DATA","KALFGEM","019","C",2,0,"Gemak van kalwing","Ge","v","ka","Ease of calving","Ea","of","ca","!!",2025,2025,""
"SM3DATA","KALFINTERV","020","N",4,0,"Kalfinterval","Kalf","inte","rval","Calving interval","Calf","inte","rval","9999",0,0,""
"SM3DATA","LKALFDATUM","021","D",8,0,"Laaste kalfdatum","Laaste","kalf","datum","Last calving date","Last","calving","date","99/99/99",3001,3001,""
"SM3DATA","KALFAANTAL","022","N",3,0,"Aantal kalwers","Aan","tal","kal","No. of calves","No","of","cal","999",3010,3010,""
"SM3DATA","MAMOERGEB","023","N",3,0,"Moermassa geboorte","Moe","mas","geb","Dam mass at birth","Dam","mas","bir","999",2050,2050,""
"SM3DATA","MAMOERSPE","024","N",3,0,"Moermassa by speen","Moe","mas","spe","Dam mass at wean","Dam","mas","wea","999",2055,2055,""
"SM3DATA","MPRESIND","025","N",3,0,"Moer doelt.indeks","Moe","doe","ind","Dam efficiency index","Dam","eff","ind","999",2060,2060,""
"SM3DATA","GEMKALFIN","026","N",4,0,"Gem. kalfinterval","Gem.","kalf","int.","Ave calving interval","Ave.","calf","int.","9999",3015,3015,""
"SM3DATA","GEMSPEENA","027","N",3,0,"Aantal kalwers gespe","Aan","kalwers","gespeen","No. of calves weaned","No.","calves","weaned","999",3045,3045,""
"SM3DATA","GEMSPEENI","028","N",3,0,"Gem. 205d indeks","Gem","205","ind","Ave. 205d index","Avg","205","ind","999",3051,3051,""
"SM3DATA","OUDEKALF","029","N",2,0,"Oud eerste kalf","Ou","ee","ka","Age first calf","Ag","fi","ca","99",3000,3000,""
"SM3DATA","MWPROD","030","N",3,0,"Mwprod.vermo‰","Mw.","pro","ver","Most like prod","Mos","lik","pro","999",3025,3025,""
"SM3DATA","PRODPJ","031","N",3,0,"Produksie p.jaar","","Pro","pj","Production per year","","Pro","p.a","999",3030,3030,""
"SM3DATA","GEBMASV","032","N",4,1,"Geb.mas.verhouding","Geb","mas","verh","Birth mass ratio","Bir","mass","rat","99.9",2014,2014,""
"SM3DATA","GEMDIND","033","N",3,0,"Gem.doeltr.indeks","Gem","doe","ind","Ave efficiency index","Ave","eff","ind","999",3035,3035,""
"SM3DATA","GEMGMV","034","N",4,1,"Gem.geb.massa verh.","Gem","gm","ver","Ave birth mass ratio","Ave","bm","rat","99.9",3040,3040,""
"SM3DATA","GEMRET","035","N",3,0,"Goedkeurings %","","%","Ja","Approved %","","%","Yes","999",3066,3066,""
"SM3DATA","GEKEUR","036","C",1,0,"Goedgekeur","","","J","Approved","","","Y","!",1060,1060,""
"SM3DATA","OPMERKING1","037","C",14,0,"Opmerkings #1","","","Opmerkings #1","Remarks #1","","","Remarks #1","!!-!!-!!-!!-!!",1065,1065,""
"SM3DATA","OPMERKING2","038","C",14,0,"Opmerkings #2","","","Opmerkings #2","Remarks #2","","","Remarks #2","!!-!!-!!-!!-!!",1070,1070,""
"SM3DATA","UITKREDE","039","C",2,0,"Waar is dier kode","Wa","di","ko","Where is animal code","Wh","an","co","!!",1075,1075,""
"SM3DATA","UITKDATUM","040","D",8,0,"Datum uit kudde","Datum","uit","kudde","Date left herd","Date","left","herd","99/99/99",1090,1090,""
"SM3DATA","INDEKSKODE","041","C",6,0,"Indeksgroep (eie)","Indeks","groep","eie","Index group (own)","Index","group","own","@!",4000,4000,""
"SM3DATA","KOD100","042","C",2,0,"100d i/kode-skema","100","indeks","kode","100d i/code-scheme","100","index","code","!!",4005,4005,""
"SM3DATA","DAT100","043","D",8,0,"100d weegdatum","100d","weeg","datum","100d weigh date","100d","weigh","date","99/99/99",4010,4010,""
